TileGramaChaoD: .word 16, 16
.byte 110,119,119,119,119,110,110,37,36,164,36,109,29,164,102,164,
110,119,119,119,110,102,102,36,36,109,36,117,29,36,164,36,
110,110,119,37,37,110,36,37,36,109,37,109,37,29,109,36,
119,37,37,119,110,36,37,36,37,36,37,37,37,109,117,164,
110,37,119,102,102,36,36,37,37,37,29,101,109,102,164,102,
110,119,37,110,36,36,36,36,29,101,37,109,37,37,109,109,
110,119,119,37,37,110,36,37,101,37,101,101,37,101,36,101,
119,119,110,102,37,36,110,36,29,37,109,37,37,109,109,164,
119,119,119,119,110,36,36,37,109,36,109,101,36,117,29,109,
119,110,119,110,37,37,110,36,101,37,37,101,36,109,36,101,
119,119,119,119,37,36,37,36,37,37,101,109,164,101,164,101,
110,110,119,102,102,110,36,37,101,36,37,37,101,37,101,164,
110,119,102,110,110,37,36,36,109,29,37,102,109,37,109,36,
119,119,37,119,119,110,110,37,101,29,102,36,102,37,117,36,
110,37,110,119,119,37,36,36,36,29,109,36,101,37,109,164,
110,119,119,119,119,110,36,36,102,36,101,164,101,37,101,164,


