Image33: .word 24, 8
.byte 255,255,255,255,255,255,199,255,255,255,255,199,255,255,255,255,255,255,255,199,199,199,255,255,
199,199,255,255,199,199,199,199,255,255,199,199,255,255,199,199,199,199,199,199,199,255,255,255,
199,199,255,255,199,199,199,199,255,255,199,199,255,255,199,199,199,199,199,199,199,255,255,255,
199,199,255,255,199,199,199,199,255,255,199,199,255,255,255,255,255,255,199,199,199,255,255,199,
199,199,255,255,199,199,199,199,255,255,199,199,255,255,199,199,199,199,199,199,199,199,199,199,
199,199,255,255,199,199,199,199,255,255,199,199,255,255,199,199,199,199,199,199,255,255,199,199,
199,199,255,255,199,199,199,255,255,255,255,199,255,255,255,255,255,255,255,199,255,255,199,199,
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,


