Image34: .word 24, 8
.byte 126,126,126,126,126,126,199,126,126,126,126,199,126,126,126,126,126,126,126,199,199,199,126,126,
199,199,126,126,199,199,199,199,126,126,199,199,126,126,199,199,199,199,199,199,199,126,126,126,
199,199,126,126,199,199,199,199,126,126,199,199,126,126,199,199,199,199,199,199,199,126,126,126,
199,199,126,126,199,199,199,199,126,126,199,199,126,126,126,126,126,126,199,199,199,126,126,199,
199,199,126,126,199,199,199,199,126,126,199,199,126,126,199,199,199,199,199,199,199,199,199,199,
199,199,126,126,199,199,199,199,126,126,199,199,126,126,199,199,199,199,199,199,126,126,199,199,
199,199,126,126,199,199,199,126,126,126,126,199,126,126,126,126,126,126,126,199,126,126,199,199,
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,


